DISTRICT,Cluster,Very low density,Low density,Medium density,High density,Rural,Suburban/Small City,Urban
28,Urban,0.09655859980799054,0.3467739950274475,0.5566674051645619,0,0.04357204448108001,0.1394021675371283,0.8170257879817917
29,Urban,0.027646815550041358,0.42874276261373034,0.5436104218362283,0,0.053780447148307875,0.17389389107126152,0.7723256617804307
3,Suburban/Small City,0.4229037703995498,0.4619133370849747,0.11518289251547552,0,0.017309704622449223,0.9697361684809194,0.012954126896631328
30,Urban,0,0.1624744851122655,0.6431371701964511,0.19438834469128335,0.011313407158287398,0.025041714213854042,0.9636448786278585
31,Urban,0,0.14270388358983363,0.712124758616654,0.1451713577935124,0.025311845550457145,0.05281494951929886,0.921873204930244
32,Urban,0,0.27739505915793855,0.6448532140820336,0.07775172676002788,0.01845497338023252,0.04660585184027015,0.9349391747794974
33,Urban,0.052449542867000175,0.48920993617388303,0.42029498016215283,0.03804554079696395,0.07227609229219625,0.29281068323351805,0.6349132244742857
34,Urban,0,0.06758664706792511,0.5429270462633452,0.3894863066687297,0.051624443336433706,0.100282930056756,0.8480926266068103
35,Urban,0,0.14459453292566057,0.607664400127778,0.2477410669465614,0.013239798309352896,0.028942801085169785,0.9578174006054774
36,Suburban/Small City,0.1899620914347606,0.5380832590884475,0.27195464947679193,0,0.09140252205929075,0.6368662189056945,0.2717312590350148
37,Urban,0.05571462174241011,0.26604157710744675,0.5787783176114657,0.09946548353867742,0.008367030116087977,0.023100905805854593,0.9685320640780575
38,Urban,0.06607476096115739,0.253371553896766,0.4921314376959926,0.188422247446084,0.0058331474457699655,0.0170125773195845,0.9771542752346456
39,Suburban/Small City,0.45154667835719553,0.27712969002277515,0.1553521593618682,0.1159714722581611,0.09544933823976795,0.8399066312607749,0.06464403049945702
4,Rural,0.7730598651872488,0.161278959924428,0.06566117488832317,0,0.923749956101459,0.06279701539798113,0.013453028500559957
40,Urban,0,0.11299171062547099,0.6929992464204974,0.19400904295403165,0.025018643771170333,0.050910010890884996,0.9240713453379447
41,Urban,0,0.17294624580556517,0.42464037686821765,0.4024133773262172,0.055267427477054425,0.12462910624006907,0.8201034662828764
42,Urban,0,0.1354229474133373,0.48497722697884105,0.3795998256078217,0.04341392309010403,0.09338828588180186,0.8631977910280942
43,Urban,0,0.21335093202505323,0.4805688029984186,0.3060802649765282,0.02124462434798593,0.0526547362896904,0.9261006393623237
44,Urban,0.01138577478097549,0.2698171976528505,0.718797027566174,0,0.04272799592713715,0.09997136256117219,0.8573006415116906
45,Urban,0.1486204141830025,0.03881685409369303,0.5760871791720437,0.2364755525512608,0.04725138861418686,0.0928519503602122,0.8598966610256009
46,Urban,0,0.21870209993868792,0.7234250459840589,0.05787285407725322,0.03198731607875528,0.0714061046189948,0.89660657930225
47,Rural,0.9559577789340667,0.04404222106593325,0,0,0.9525812414659515,0.0353248759520124,0.012093882582036213
48,Urban,0.06443989954115316,0.48039039070861633,0.45516970975023047,0,0.07271032770846403,0.28442145693257165,0.6428682153589642
49,Suburban/Small City,0.3484314667520774,0.4810850726881261,0.17048346055979643,0,0.03622981464231491,0.9191687339808672,0.04460145137681785
5,Rural,0.6951894230624275,0.3048105769375726,0,0,0.5777926941612312,0.3759361431402027,0.04627116269856613
50,Rural,0.8597054175663775,0.14029458243362244,0,0,0.9968342204335405,0.0025122969019551705,6.534826645043177e-4
51,Rural,0.8660260965386556,0.13397390346134438,0,0,0.9977535376066554,0.0017749590016397723,4.7150339170472146e-4
